12,8,7,42,True,True,426
10,7,1,31,False,True,854
3,1,1,9,False,True,1
83,39,17,247,False,False,496
47,29,11,134,False,True,55
13,12,15,64,False,False,1000
85,51,19,251,True,False,15
7,6,2,22,True,False,91
5,9,2,29,True,True,81
8,8,2,30,False,True,2
16,11,2,48,True,True,1004
29,20,4,101,True,True,8
50,25,9,165,True,True,17
35,29,8,145,True,True,28
19,8,4,49,True,False,40
11,0,0,13,True,False,5
24,16,0,74,True,True,15
21,13,4,68,True,True,10
11,17,3,53,False,True,6
111,59,30,321,False,False,398
18,8,4,47,True,False,747
21,19,7,86,False,True,2
11,9,0,27,True,True,1
52,35,6,175,False,False,55
135,70,24,376,False,False,13
15,3,0,28,False,False,5
267,147,65,762,True,False,1069
1,0,0,2,False,True,14
59,30,13,164,True,False,1
7,1,1,12,True,False,18
63,34,11,179,True,False,73
41,23,19,145,True,False,83
25,5,6,65,False,False,243
7,5,1,23,False,True,34
3,1,0,9,False,True,50
10,5,0,24,False,True,9
117,62,27,330,False,True,155
77,51,12,226,True,True,48
19,9,11,66,False,False,4
2,2,0,7,False,True,157
32,19,9,113,True,False,2
4,3,2,16,False,True,5
8,7,1,25,False,True,15
47,22,5,121,True,True,38
7,5,2,24,True,False,2523
4,2,2,14,True,True,12
48,36,11,153,True,True,5
21,11,4,59,False,True,41
1,1,1,7,True,False,2
12,9,2,43,True,False,23
6,1,2,11,True,False,4
15,11,1,48,False,True,10
11,9,3,33,True,False,241
1,3,1,12,False,True,70
6,4,1,17,False,True,2
37,28,7,132,False,True,629
31,10,4,64,True,False,66
22,3,1,33,True,False,2487
15,8,4,44,False,True,13
49,34,13,165,False,False,24
50,32,7,151,False,True,47
17,9,8,50,True,False,44
66,33,6,168,True,False,156
47,21,4,121,False,False,3198
59,29,10,152,True,False,8
30,9,0,59,False,True,8
2,2,0,7,True,True,33
1,1,0,5,False,True,3
20,21,5,84,False,True,11
163,97,22,481,False,False,2359
10,1,2,19,True,False,1602
227,170,49,764,True,False,498
7,4,1,23,False,True,1919
19,17,4,69,True,True,7
20,7,1,44,False,False,4
34,18,4,96,True,False,3
0,1,0,2,False,True,7
12,9,2,37,False,False,8
47,25,10,122,False,False,2995
1,1,0,2,True,False,377
106,60,33,335,True,True,7
43,34,7,152,False,False,31
4,3,2,18,True,False,1472
15,4,1,26,True,False,8611
7,3,0,17,False,True,1
103,60,27,328,True,False,161
3,2,2,16,True,True,2
10,0,0,13,False,False,1
22,20,5,78,False,False,163
7,5,0,20,False,True,18
31,12,7,89,False,False,5
52,9,20,117,False,False,8
12,5,2,34,False,False,16
55,40,12,197,True,False,6
38,17,1,84,False,True,932
1,0,1,5,False,True,2
3,1,2,13,True,False,2380
17,6,3,37,True,False,237
45,26,13,133,True,False,45
50,36,3,161,True,True,93
22,15,5,71,True,False,51
8,7,1,25,True,False,152
26,24,11,107,False,True,8
95,27,30,219,True,False,7747
10,4,3,34,True,True,59
26,12,6,67,True,True,19
30,19,7,108,True,True,20
23,9,4,65,False,True,1024
205,117,59,658,True,True,225
45,34,23,176,True,False,18
